ano;idade;sexo;estado;raca;grau;emprego;saude;seguro;salario,
2006;38;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;162,9464607
2008;59;Masculino;Casado;Asiatica;12 ano;Industrial;Muito Bom;Sim;139,2137881
2009;57;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Razoavel;Sim;95,23071257
2005;25;Masculino;Solteiro;Branca;12 ano;Industrial;Menos de Bom;Nao;66,96164432
2004;49;Masculino;Casado;Branca;Licenciatura;Industrial;Menos de Bom;Sim;131,1943236
2004;41;Masculino;Casado;Branca;Ate 12 ano;Industrial;Muito Bom;Sim;90,48191336
2009;38;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;114,4757133
2003;61;Masculino;Casado;Branca;Grau avancado;Industrial;Muito Bom;Sim;79,1280845
2007;49;Masculino;Divorciado;Branca;12 ano;Industrial;Menos de Bom;Sim;104,5917379
2008;52;Masculino;Divorciado;Branca;Grau avancado;Servicos;Muito Bom;Sim;132,4878211
2007;43;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Sim;141,7751723
2008;60;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;123,896998
2005;46;Masculino;Casado;Asiatica;Grau avancado;Servicos;Muito Bom;Sim;134,7053751
2004;21;Masculino;Solteiro;Branca;12 ano;Servicos;Muito Bom;Nao;55,76739051
2009;61;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;106,9218141
2007;32;Masculino;Casado;Negra;Grau avancado;Servicos;Muito Bom;Sim;118,8843593
2004;58;Masculino;Casado;Branca;12 ano;Servicos;Menos de Bom;Sim;87,98103279
2003;35;Masculino;Solteiro;Branca;12 ano;Servicos;Muito Bom;Sim;88,92960664
2004;26;Masculino;Solteiro;Negra;12 ano;Servicos;Muito Bom;Sim;81,28325328
2006;32;Masculino;Solteiro;Negra;12 ano;Industrial;Muito Bom;Nao;94,7271475
2003;37;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Sim;106,9218141
2007;22;Masculino;Solteiro;Asiatica;12 ano;Industrial;Menos de Bom;Nao;59,9706408
2005;51;Masculino;Solteiro;Branca;12 ano;Industrial;Menos de Bom;Nao;65,11085372
2004;44;Masculino;Divorciado;Branca;Grau avancado;Servicos;Menos de Bom;Sim;120,5894365
2005;35;Masculino;Casado;Asiatica;Grau avancado;Industrial;Muito Bom;Sim;157,7005277
2004;60;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Sim;129,4536446
2007;40;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;176,9896505
2004;35;Masculino;Solteiro;Branca;Ate 12 ano;Servicos;Muito Bom;Nao;59,9706408
2007;35;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Nao;94,7271475
2008;47;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;134,7053751
2003;43;Masculino;Solteiro;Branca;Licenciatura;Servicos;Muito Bom;Sim;81,28325328
2003;33;Masculino;Casado;Branca;Ate 12 ano;Industrial;Menos de Bom;Sim;81,28325328
2003;60;Masculino;Divorciado;Branca;Grau avancado;Industrial;Muito Bom;Sim;153,4575153
2008;38;Masculino;Casado;Asiatica;Grau avancado;Industrial;Muito Bom;Sim;136,8763676
2005;53;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Nao;75,4315402
2004;55;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;130,2208324
2003;57;Masculino;Casado;Negra;12 ano;Servicos;Menos de Bom;Nao;104,9215065
2005;64;Masculino;Casado;Branca;Licenciatura;Servicos;Menos de Bom;Nao;49,55533812
2007;43;Masculino;Casado;Branca;12 ano;Industrial;Menos de Bom;Sim;123,9085676
2008;35;Masculino;Casado;Negra;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;123,896998
2008;54;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Nao;78,15516141
2007;45;Masculino;Casado;Branca;12 ano;Servicos;Menos de Bom;Sim;73,77574327
2003;58;Masculino;Divorciado;Asiatica;Licenciatura;Servicos;Muito Bom;Sim;138,2991269
2007;48;Masculino;Casado;Branca;Licenciatura;Servicos;Menos de Bom;Nao;127,1157438
2003;46;Masculino;Casado;Asiatica;Ate 12 ano;Industrial;Muito Bom;Sim;68,74808773
2004;46;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;84,39111475
2009;55;Masculino;Casado;Branca;Ate 12 ano;Industrial;Muito Bom;Sim;85,38394038
2006;51;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;128,6804882
2005;49;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;70,47601965
2008;34;Masculino;Solteiro;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;76,89360252
2007;53;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Nao;148,4131591
2004;40;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;148,4131591
2009;50;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;175,9608831
2006;37;Masculino;Divorciado;Branca;Ate 12 ano;Servicos;Menos de Bom;Sim;98,59934386
2003;39;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;145,1436012
2004;52;Masculino;Casado;Branca;Licenciatura;Industrial;Menos de Bom;Sim;99,6894637
2003;50;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Sim;141,888744
2006;48;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;123,896998
2006;47;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;129,4536446
2005;27;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;111,7208494
2006;39;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;103,9024706
2009;44;Masculino;Casado;Negra;12 ano;Servicos;Menos de Bom;Sim;118,8843593
2003;37;Masculino;Casado;Negra;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;151,5914842
2006;52;Masculino;Casado;Branca;12 ano;Industrial;Menos de Bom;Nao;101,8243521
2004;26;Masculino;Solteiro;Asiatica;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;99,6894637
2008;39;Masculino;Casado;Asiatica;Grau avancado;Industrial;Menos de Bom;Sim;99,6894637
2006;25;Masculino;Casado;Negra;12 ano;Industrial;Menos de Bom;Nao;99,6894637
2005;31;Masculino;Solteiro;Branca;Licenciatura;Servicos;Muito Bom;Nao;94,7271475
2004;58;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Razoavel;Sim;152,2168068
2005;30;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;104,9215065
2004;27;Masculino;Casado;Branca;Ate 12 ano;Industrial;Menos de Bom;Sim;65,11085372
2003;40;Masculino;Divorciado;Branca;12 ano;Industrial;Muito Bom;Sim;95,23071257
2006;55;Masculino;Casado;Branca;Grau avancado;Industrial;Muito Bom;Sim;173,8794933
2009;35;Masculino;Casado;Asiatica;Grau avancado;Servicos;Muito Bom;Sim;193,4110705
2008;48;Masculino;Casado;Branca;12 ano;Industrial;Menos de Bom;Nao;114,4757133
2006;29;Masculino;Solteiro;Asiatica;Licenciatura;Industrial;Menos de Bom;Sim;160,6424754
2005;25;Masculino;Solteiro;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;89,49247952
2004;40;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;120,5894365
2006;27;Masculino;Casado;Branca;Ate 12 ano;Servicos;Menos de Bom;Nao;73,77574327
2006;44;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Sim;127,1157438
2006;49;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;118,8843593
2003;22;Masculino;Solteiro;Branca;Frequentou Ens. Sup. ;Industria;Razoavel;Nao;34,60741773
2007;45;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Razoavel;Sim;114,4757133
2007;33;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Nao;85,38394038
2007;63;Masculino;Casado;Negra;Grau avancado;Servicos;Muito Bom;Sim;318,3424301
2006;49;Masculino;Solteiro;Negra;Licenciatura;Industrial;Muito Bom;Sim;141,7751723
2005;39;Masculino;Solteiro;Branca;Grau avancado;Servicos;Muito Bom;Sim;130,9821774
2007;25;Masculino;Solteiro;Outra;Ate 12 ano;Industrial;Menos de Bom;Nao;73,77574327
2005;29;Masculino;Solteiro;Branca;Grau avancado;Servicos;Muito Bom;Sim;130,9821774
2006;37;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;75,4315402
2008;35;Masculino;Casado;Branca;Grau avancado;Servicos;Menos de Bom;Sim;154,9902603
2009;46;Masculino;Casado;Branca;12 ano;Industrial;Menos de Bom;Sim;104,9215065
2008;58;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;73,11830692
2003;39;Masculino;Casado;Branca;Grau avancado;Industrial;Muito Bom;Sim;123,896998
2008;41;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;157,7005277
2008;29;Masculino;Casado;Negra;Licenciatura;Servicos;Muito Bom;Sim;81,28325328
2009;37;Masculino;Casado;Branca;Licenciatura;Servicos;Menos de Bom;Sim;107,2560621
2009;62;Masculino;Casado;Branca;12 ano;Servicos;Menos de Bom;Nao;78,98167452
2008;27;Masculino;Solteiro;Negra;12 ano;Industrial;Muito Bom;Sim;73,77574327
2003;37;Masculino;Casado;Branca;12 ano;Industrial;Menos de Bom;Sim;94,7271475
2006;56;Masculino;Separado;Asiatica;Licenciatura;Servicos;Menos de Bom;Nao;99,6894637
2004;36;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;176,9896505
2005;23;Masculino;Solteiro;Outra;12 ano;Servicos;Muito Bom;Nao;73,77574327
2003;46;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;99,6894637
2009;26;Masculino;Solteiro;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Nao;94,7271475
2006;43;Masculino;Casado;Branca;Ate 12 ano;Servicos;Muito Bom;Sim;95,23071257
2007;36;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Sim;127,1157438
2003;54;Masculino;Separado;Branca;Frequentou Ens. Sup. ;Servicos;Razoavel;Sim;99,6894637
2003;62;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;95,68881191
2006;40;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;109,8339856
2006;53;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;118,8843593
2007;48;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Sim;176,9896505
2004;23;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Nao;61,18752643
2009;34;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;81,28325328
2004;43;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Nao;256,4006496
2006;55;Masculino;Casado;Branca;12 ano;Servicos;Menos de Bom;Sim;81,28325328
2007;59;Masculino;Solteiro;Branca;12 ano;Servicos;Muito Bom;Sim;81,28325328
2007;60;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Nao;55,76739051
2009;49;Masculino;Solteiro;Branca;12 ano;Industrial;Muito Bom;Sim;75,35567932
2006;45;Masculino;Casado;Asiatica;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;130,9821774
2006;31;Masculino;Divorciado;Branca;12 ano;Industrial;Muito Bom;Nao;43,73511168
2004;34;Masculino;Solteiro;Branca;Licenciatura;Servicos;Menos de Bom;Sim;114,4757133
2005;26;Masculino;Solteiro;Branca;Grau avancado;Servicos;Muito Bom;Sim;114,4757133
2007;22;Masculino;Solteiro;Branca;12 ano;Industrial;Muito Bom;Nao;81,28325328
2004;40;Masculino;Casado;Branca;12 ano;Servicos;Menos de Bom;Nao;68,5721657
2009;41;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;109,8339856
2006;36;Masculino;Solteiro;Negra;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;97,49329405
2007;38;Masculino;Casado;Branca;Ate 12 ano;Industrial;Muito Bom;Nao;62,39835472
2003;48;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Nao;97,49329405
2006;47;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;134,7053751
2005;47;Masculino;Separado;Branca;Ate 12 ano;Industrial;Menos de Bom;Nao;61,18752643
2007;35;Masculino;Casado;Branca;Licenciatura;Servicos;Menos de Bom;Nao;118,8843593
2008;49;Masculino;Casado;Asiatica;12 ano;Servicos;Muito Bom;Sim;65,11085372
2004;40;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;109,8339856
2004;32;Masculino;Viuvo;Asiatica;Licenciatura;Industrial;Muito Bom;Nao;104,9215065
2008;57;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;73,77574327
2008;56;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;141,7751723
2009;73;Masculino;Casado;Branca;Ate 12 ano;Industrial;Menos de Bom;Nao;90,48191336
2007;29;Masculino;Solteiro;Branca;12 ano;Industrial;Menos de Bom;Sim;73,77574327
2003;49;Masculino;Casado;Asiatica;Grau avancado;Industrial;Muito Bom;Sim;134,7053751
2009;30;Masculino;Solteiro;Branca;12 ano;Industrial;Muito Bom;Sim;109,8339856
2008;29;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;91,69922611
2004;36;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Servicos;Saudavel;Nao;95,23071257
2009;39;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Sim;156,5035109
2007;48;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;104,9215065
2006;45;Masculino;Casado;Negra;Licenciatura;Industrial;Muito Bom;Sim;99,6894637
2004;50;Masculino;Casado;Branca;Licenciatura;Industrial;Menos de Bom;Nao;54,59815003
2003;42;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;32,36641317
2007;58;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Razoavel;Nao;118,8843593
2007;48;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;109,8339856
2003;48;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;109,8339856
2005;45;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;118,8843593
2007;41;Masculino;Divorciado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;110,7826503
2008;27;Masculino;Solteiro;Branca;12 ano;Industrial;Muito Bom;Sim;93,55726735
2004;44;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Sim;109,8339856
2003;32;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;118,8843593
2006;46;Masculino;Casado;Branca;Ate 12 ano;Servicos;Muito Bom;Sim;118,8843593
2005;52;Masculino;Casado;Negra;12 ano;Servicos;Menos de Bom;Nao;52,15617117
2003;22;Masculino;Solteiro;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Nao;43,73511168
2004;53;Masculino;Viuvo;Branca;12 ano;Industrial;Muito Bom;Sim;117,1468169
2008;34;Masculino;Casado;Branca;Grau avancado;Industrial;Menos de Bom;Sim;118,8843593
2009;38;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;148,4131591
2009;42;Masculino;Casado;Branca;Ate 12 ano;Servicos;Muito Bom;Sim;101,8243521
